,state,agi_stub,returns,agi,inc,wages,interest,dividends,business,capital_gains,s_corp,rent,year,total,top_01,top_05,top_10,top_50,agi_01,agi_05,agi_10,agi_50,total_agi,sum_agi_01,sum_agi_05,sum_agi_10,sum_agi_50,total_sal_amt,sum_sal_01,sum_sal_05,sum_sal_10,sum_sal_50,total_int_amt,sum_int_01,sum_int_05,sum_int_10,sum_int_50,total_div_amt,sum_div_01,sum_div_05,sum_div_10,sum_div_50,total_businc_amt,sum_businc_01,sum_businc_05,sum_businc_10,sum_businc_50,total_cpgain_amt,sum_cpgain_01,sum_cpgain_05,sum_cpgain_10,sum_cpgain_50,total_scorp_amt,sum_scorp_01,sum_scorp_05,sum_scorp_10,sum_scorp_50,agi_stub_cat
72,CO,6,224500,19440738,19733964,14748815,129825,260720,532708,187827,381833,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$75,000 under $100,000"
73,CO,7,307840,41486943,42137761,31313205,291233,696841,1250103,780429,1480394,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$100,000 under $200,000"
74,CO,8,82630,23371130,23850411,15297177,258695,694934,955767,1437556,2586251,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$200,000 under $500,000"
75,CO,9,12480,8434250,8611259,4039918,156660,397270,281799,1223844,1802301,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$500,000 under $1,000,000"
76,CO,10,6510,23127246,23334770,5558304,625406,1760422,317454,9336779,4313989,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,000,000 or more"
77,CT,0,1741480,159120924,161561716,104535878,2323284,5445935,5943117,13141950,12086659,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No AGI Stub
78,CT,1,24240,-2555831,-2703409,192563,66305,66516,-135902,158720,-697418,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Under $1
79,CT,2,258240,1286262,1335596,939561,27050,53306,134611,-9469,-3764,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1 under $10,000"
80,CT,3,323490,5534225,5648597,3930955,63546,107173,416949,11507,22418,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,000 under $25,000"
81,CT,4,368160,13425268,13657461,10528363,102006,176325,533636,39459,77820,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,000 under $50,000"
