,state,year,agi_stub,income_type,amount
565,WY,2012,4,returns,"65,700"
566,WY,2012,5,returns,"43,550"
567,WY,2012,6,returns,"30,880"
568,WY,2012,7,returns,"34,660"
569,WY,2012,8,returns,"6,470"
570,WY,2012,9,returns,"1,270"
571,WY,2012,10,returns,910
572,OA,2012,0,returns,"674,050"
573,OA,2012,1,returns,"96,770"
574,OA,2012,2,returns,"122,570"
575,OA,2012,3,returns,"119,170"
576,OA,2012,4,returns,"126,700"
577,OA,2012,5,returns,"67,110"
578,OA,2012,6,returns,"40,030"
579,OA,2012,7,returns,"56,330"
580,OA,2012,8,returns,"29,720"
581,OA,2012,9,returns,"9,340"
582,OA,2012,10,returns,"6,310"
583,US,2013,0,returns,146542500
584,US,2013,1,returns,2177050
585,US,2013,2,returns,22673700
586,US,2013,3,returns,33764700
587,US,2013,4,returns,34182810
588,US,2013,5,returns,19328370
589,US,2013,6,returns,12397060
590,US,2013,7,returns,16422010
591,US,2013,8,returns,4538210
592,US,2013,9,returns,711530
593,US,2013,10,returns,347070
594,AL,2013,0,returns,2048730
595,AL,2013,1,returns,25450
596,AL,2013,2,returns,309510
597,AL,2013,3,returns,561090
598,AL,2013,4,returns,491000
599,AL,2013,5,returns,258760
600,AL,2013,6,returns,162870
601,AL,2013,7,returns,190970
602,AL,2013,8,returns,40390
603,AL,2013,9,returns,6170
604,AL,2013,10,returns,2520
605,AK,2013,0,returns,359140
606,AK,2013,1,returns,3600
607,AK,2013,2,returns,55370
608,AK,2013,3,returns,65930
609,AK,2013,4,returns,80690
610,AK,2013,5,returns,51400
611,AK,2013,6,returns,35660
612,AK,2013,7,returns,53120
613,AK,2013,8,returns,11470
614,AK,2013,9,returns,1320
615,AK,2013,10,returns,590
616,AZ,2013,0,returns,2813630
617,AZ,2013,1,returns,47490
618,AZ,2013,2,returns,386090
619,AZ,2013,3,returns,704030
620,AZ,2013,4,returns,705080
621,AZ,2013,5,returns,367300
622,AZ,2013,6,returns,230640
623,AZ,2013,7,returns,288100
624,AZ,2013,8,returns,70760
625,AZ,2013,9,returns,9860
626,AZ,2013,10,returns,4280
627,AR,2013,0,returns,1220230
628,AR,2013,1,returns,16450
629,AR,2013,2,returns,196700
630,AR,2013,3,returns,328910
631,AR,2013,4,returns,300070
632,AR,2013,5,returns,156220
633,AR,2013,6,returns,92670
634,AR,2013,7,returns,100820
635,AR,2013,8,returns,23570
636,AR,2013,9,returns,3450
637,AR,2013,10,returns,1370
638,CA,2013,0,returns,17171740
639,CA,2013,1,returns,307340
640,CA,2013,2,returns,2395270
641,CA,2013,3,returns,4016720
642,CA,2013,4,returns,3917080
643,CA,2013,5,returns,2174690
644,CA,2013,6,returns,1386010
645,CA,2013,7,returns,2103280
646,CA,2013,8,returns,709230
647,CA,2013,9,returns,108150
648,CA,2013,10,returns,53990
649,CO,2013,0,returns,2502950
650,CO,2013,1,returns,41240
651,CO,2013,2,returns,338730
652,CO,2013,3,returns,511410
653,CO,2013,4,returns,593450
654,CO,2013,5,returns,350660
655,CO,2013,6,returns,230710
656,CO,2013,7,returns,327110
657,CO,2013,8,returns,91400
658,CO,2013,9,returns,12580
659,CO,2013,10,returns,5650
660,CT,2013,0,returns,1749600
661,CT,2013,1,returns,22670
662,CT,2013,2,returns,258200
663,CT,2013,3,returns,324160
664,CT,2013,4,returns,365450
665,CT,2013,5,returns,239770
666,CT,2013,6,returns,164460
667,CT,2013,7,returns,262410
668,CT,2013,8,returns,86190
669,CT,2013,9,returns,16410
670,CT,2013,10,returns,9890
671,DE,2013,0,returns,439680
672,DE,2013,1,returns,4290
673,DE,2013,2,returns,63010
674,DE,2013,3,returns,94690
675,DE,2013,4,returns,105270
676,DE,2013,5,returns,61940
677,DE,2013,6,returns,40700
678,DE,2013,7,returns,55270
679,DE,2013,8,returns,12220
680,DE,2013,9,returns,1610
681,DE,2013,10,returns,680
682,DC,2013,0,returns,331050
683,DC,2013,1,returns,4240
684,DC,2013,2,returns,38280
685,DC,2013,3,returns,62020
686,DC,2013,4,returns,79410
687,DC,2013,5,returns,50990
688,DC,2013,6,returns,30020
689,DC,2013,7,returns,42720
690,DC,2013,8,returns,18680
691,DC,2013,9,returns,3060
692,DC,2013,10,returns,1630
693,FL,2013,0,returns,9316270
694,FL,2013,1,returns,184180
695,FL,2013,2,returns,1525140
696,FL,2013,3,returns,2528640
697,FL,2013,4,returns,2213900
698,FL,2013,5,returns,1092760
699,FL,2013,6,returns,656340
700,FL,2013,7,returns,814270
701,FL,2013,8,returns,232560
702,FL,2013,9,returns,43230
703,FL,2013,10,returns,25260
704,GA,2013,0,returns,4358720
705,GA,2013,1,returns,64610
706,GA,2013,2,returns,688890
707,GA,2013,3,returns,1166710
708,GA,2013,4,returns,1019460
709,GA,2013,5,returns,526400
710,GA,2013,6,returns,323710
711,GA,2013,7,returns,426520
712,GA,2013,8,returns,117220
713,GA,2013,9,returns,17480
714,GA,2013,10,returns,7720
715,HI,2013,0,returns,675280
716,HI,2013,1,returns,12270
717,HI,2013,2,returns,96430
718,HI,2013,3,returns,139400
719,HI,2013,4,returns,174970
720,HI,2013,5,returns,95650
721,HI,2013,6,returns,61350
722,HI,2013,7,returns,76850
723,HI,2013,8,returns,15790
724,HI,2013,9,returns,1860
725,HI,2013,10,returns,690
726,ID,2013,0,returns,691620
727,ID,2013,1,returns,13660
728,ID,2013,2,returns,108380
729,ID,2013,3,returns,163080
730,ID,2013,4,returns,172190
731,ID,2013,5,returns,98590
732,ID,2013,6,returns,59060
733,ID,2013,7,returns,60860
734,ID,2013,8,returns,12920
735,ID,2013,9,returns,2000
736,ID,2013,10,returns,880
737,IL,2013,0,returns,6100680
738,IL,2013,1,returns,77140
739,IL,2013,2,returns,951410
740,IL,2013,3,returns,1330130
741,IL,2013,4,returns,1362550
742,IL,2013,5,returns,824490
743,IL,2013,6,returns,545980
744,IL,2013,7,returns,752490
745,IL,2013,8,returns,207690
746,IL,2013,9,returns,32940
747,IL,2013,10,returns,15880
748,IN,2013,0,returns,3047720
749,IN,2013,1,returns,33980
